Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-01-05,7522.213774019,7450.1098433844,7568.1286645149,7314.6090907238
BTC,2020-01-06,7841.1282936885,7522.2143220067,7995.7412751656,7480.7778876048
BTC,2020-01-07,8347.8347731325,7839.1465281848,8463.1834184145,7718.0930863616
BTC,2020-01-08,7953.9331562879,8347.8276715836,8419.4533395143,7871.0354994792
BTC,2020-01-09,7788.2158858067,7955.1974644011,8003.8542923237,7755.4012267825
BTC,2020-01-10,8112.6068247821,7788.2162244162,8247.2909700797,7670.4577915925
BTC,2020-01-11,8088.4260906442,8112.6083072564,8278.6605796425,7959.5335219804
BTC,2020-01-12,8113.6252700447,8088.7502792126,8191.1877148195,8070.5027079028
BTC,2020-01-13,8524.2708627464,8113.6252700447,8580.6989081586,8035.3155303557
BTC,2020-01-14,8591.9466837028,8524.2717651034,8886.6206171899,8458.2475270575
BTC,2020-01-15,8649.3946239273,8591.9395982968,8897.643792588,8558.7443773392
BTC,2020-01-16,8791.2997368378,8649.3956834781,8821.2479077576,8588.90134664
BTC,2020-01-17,8917.924127782,8791.7464809492,9009.5337001471,8752.6225420933
BTC,2020-01-18,9143.2474249114,8916.5691584534,9181.9727908014,8803.0944350362
BTC,2020-01-19,8628.3265118366,9143.2477251226,9155.6224915053,8455.129027536
BTC,2020-01-20,8663.0568044504,8628.3260077418,8739.3538192252,8502.5703185337
BTC,2020-01-21,8721.7458789322,8663.0552400221,8783.7501000075,8486.3404573779
BTC,2020-01-22,8564.1498433092,8721.7458941332,8797.7736140327,8543.99330519
BTC,2020-01-23,8285.3525437474,8564.1498666203,8597.3283514809,8264.002404747
BTC,2020-01-24,8277.6947003996,8285.3015812672,8512.454206647,8220.8673894814
BTC,2020-01-25,8344.5546573726,8277.6952782287,8403.2371018202,8266.659567511
BTC,2020-01-26,8619.1007276211,8344.554391894,8684.9124706535,8319.6396600683
BTC,2020-01-27,9035.5190664916,8619.3537477534,9138.828725216,8554.9446050992
BTC,2020-01-28,9328.8483735547,9037.6679508294,9414.3835914535,8881.7968967542
BTC,2020-01-29,9308.0155224899,9328.8489066204,9432.6774872835,9185.1813402348
BTC,2020-01-30,9396.3941118983,9308.0162032142,9633.2510350153,9205.5761569464
BTC,2020-01-31,9393.5511573017,9396.393254386,9451.0645797253,9198.6590414019
BTC,2020-02-01,9308.3405098166,9393.5523506649,9442.9234474654,9150.5345727305
BTC,2020-02-02,9377.7606286558,9307.7198374573,9603.1055824836,9275.2834610722
BTC,2020-02-03,9275.7768644203,9377.7622438197,9410.0919168861,9222.9464935155
BTC,2020-02-04,9156.145059883,9275.7770898254,9305.0511335039,9072.5882144438
